alpha_i,alpha_j,D_i,D_j,D_acc_j,D_acc_i_pre,D_acc_ij,D_acc_i_span,D_acc_j_span,effective_length_i,effective_length_j,length_i,length_j,Df,pd_pr,pd_pp,Cij
3.6841361487904736e-05,5.0656872045869005e-05,-1e-06,2e-06,-7.682,-15.01,-7.22,-0.088,0.108,26082.529841798463,18460.21119895489,88000.0,54000.0,148290439578.875,0.0,0.0,-0.0102618381233461
3.9143946580898775e-05,5.295945713886305e-05,1.4e-05,1.6e-05,1.534,-2.06,-2.17,1.33,1.424,24926.814597823628,18712.91296390105,95000.0,89000.0,353822371525.8125,0.0,0.0,-0.0286962662445084
4.835428695287496e-05,5.0656872045869005e-05,1.6e-05,-2e-06,-5.919999999999999,-3.589999999999999,2.16,1.456,-0.1699999999999999,20426.846716838816,19474.3641155106,91000.0,85000.0,274677716620.15625,0.0,0.0,0.0111185039915338
4.1446531673892815e-05,5.0656872045869005e-05,1.8e-05,9e-06,-3.968,1.85,6.7,1.278,0.882,22855.39888623317,19602.82259552201,71000.0,98000.0,237003802696.625,0.0,0.0,0.009445042268874
4.605170185988091e-05,4.835428695287496e-05,1e-06,4e-06,-4.034000000000001,0.5499999999999998,4.82,0.086,0.236,21300.95855751517,19487.896793497188,86000.0,59000.0,277967847661.875,0.0,0.0,0.0076821275773757
5.52620422318571e-05,4.1446531673892815e-05,-5e-06,1.1e-05,-3.2860000000000005,-11.22,-7.23,-0.4499999999999999,0.704,17970.412423852216,22427.225043025664,90000.0,64000.0,173031790393.375,0.0,0.0,-0.0006047925616382
4.605170185988091e-05,4.605170185988091e-05,1.1e-05,3e-06,-2.023,-3.0,-0.7400000000000001,0.627,0.237,20141.631395398326,21143.568657759137,57000.0,79000.0,210678911963.96875,0.0,0.0,-0.0656008411977848
4.374911676688687e-05,4.374911676688687e-05,0.0,1.3e-05,-6.717000000000001,-4.900000000000001,2.74,0.0,0.923,22466.7357763218,21834.23895554764,93000.0,71000.0,172123808620.75,0.0,0.0,0.0050546515015494
4.1446531673892815e-05,4.374911676688687e-05,1.3e-05,1e-05,5.0600000000000005,6.340000000000001,2.27,1.222,0.99,23637.11486401012,22556.97542275893,94000.0,99000.0,297207174235.46875,0.0,0.0,0.0127230124456445
5.52620422318571e-05,5.52620422318571e-05,1.9e-05,4e-06,7.969999999999999,10.46,2.75,1.2539999999999998,0.26,17624.00420190337,17597.209109402444,66000.0,65000.0,114421430289.3125,0.0,0.0,-0.0361961253214958
5.52620422318571e-05,5.0656872045869005e-05,0.0,7.000000000000001e-06,-5.115,-8.65,-2.87,0.0,0.665,17911.283154657962,19580.20017383297,83000.0,95000.0,491454639809.3125,0.0,0.0,0.0158231646949545
5.295945713886305e-05,4.605170185988091e-05,1.7e-05,2e-06,3.184,3.08,0.08,0.986,0.184,18007.271213634736,21400.85083698336,58000.0,92000.0,422882221829.9688,0.0,0.0,-0.1693887916456397
4.835428695287496e-05,5.0656872045869005e-05,1.1e-05,-4e-06,-2.324,4.550000000000001,6.65,0.935,-0.2239999999999999,20341.404335598912,18583.582947959887,85000.0,56000.0,153465377012.0625,0.0,0.0,-0.0005686254935044
4.605170185988091e-05,5.0656872045869005e-05,-1e-06,9e-06,-7.075,-8.25,-0.5899999999999999,-0.055,0.585,19989.86224935906,19007.223269104343,55000.0,65000.0,205959957153.8125,0.0,0.0,-0.032618720558884
4.1446531673892815e-05,5.0656872045869005e-05,9e-06,-4e-06,1.176,6.3500000000000005,4.8500000000000005,0.5760000000000001,-0.324,22427.225043025664,19414.55013501789,64000.0,81000.0,264738637651.75,0.0,0.0,-0.0094444235236567
4.1446531673892815e-05,5.295945713886305e-05,1.1e-05,1.2e-05,4.59,8.620000000000001,5.11,0.836,1.08,23093.492007756155,18721.653755215622,76000.0,90000.0,452190994311.4063,0.0,0.0,-0.0080790806543352
4.835428695287496e-05,4.374911676688687e-05,-1e-06,7.000000000000001e-06,-5.029,-8.67,-2.99,-0.081,0.651,20269.004639967203,22466.7357763218,81000.0,93000.0,454497951228.125,0.0,0.0,0.0117098314691504
4.374911676688687e-05,4.374911676688687e-05,8e-06,1.9e-05,-1.4010000000000002,-1.52,0.85,0.4479999999999999,0.969,20885.04209334969,20402.72180858,56000.0,51000.0,291441074961.84375,0.0,0.0,0.041895300349605
5.52620422318571e-05,4.374911676688687e-05,1.3e-05,1.2e-05,-3.2,3.6600000000000006,8.0,1.0530000000000002,1.14,17889.742890678957,22499.482550558525,81000.0,95000.0,228236166037.28125,0.0,0.0,0.0040630627909771
5.0656872045869005e-05,4.835428695287496e-05,1.8e-05,-3e-06,4.383000000000001,8.06,3.5,1.242,-0.177,19141.74817742486,19487.896793497188,69000.0,59000.0,323604655050.0,0.0,0.0,-0.0205050114818869
4.835428695287496e-05,5.52620422318571e-05,1.1e-05,7.000000000000001e-06,2.416,-1.1,-2.83,1.067,0.686,20490.77210053356,18015.14470182571,97000.0,98000.0,222651105778.78125,0.0,0.0,0.0167270650179721
4.605170185988091e-05,3.9143946580898775e-05,-5e-06,9e-06,0.246,-1.6900000000000004,-1.3600000000000003,-0.2649999999999999,0.5760000000000001,19823.45068987973,23460.63294783535,53000.0,64000.0,346995236673.09375,0.0,0.0,0.0031405429333127
5.295945713886305e-05,5.0656872045869005e-05,8e-06,2e-06,1.4,0.93,-0.3299999999999999,0.5359999999999999,0.1399999999999999,18339.047798507963,19171.33146494644,67000.0,70000.0,384167249631.0,0.0,0.0,0.0261191094720562
5.52620422318571e-05,5.295945713886305e-05,2e-05,-5e-06,2.535,6.51,3.61,1.66,-0.365,17911.283154657962,18486.95074185403,83000.0,73000.0,250440903554.25,0.0,0.0,-0.0061410133194373
5.52620422318571e-05,4.374911676688687e-05,5e-06,-1e-06,5.1080000000000005,5.24,0.05,0.4349999999999999,-0.0819999999999999,17947.837905176948,22225.1477378814,87000.0,82000.0,298326889631.34375,0.0,0.0,-0.0926786984584162
4.605170185988091e-05,5.52620422318571e-05,1.8e-05,1.3e-05,4.118,3.1300000000000003,0.26,1.71,1.248,21441.3519154276,18005.74203556824,95000.0,96000.0,131609010476.4375,0.0,0.0,0.0884264611542644
5.0656872045869005e-05,3.6841361487904736e-05,-3e-06,1e-06,-1.286,-5.289999999999999,-3.94,-0.24,0.064,19397.604945342013,24574.99525799723,80000.0,64000.0,123498588822.40623,0.0,0.0,-0.0070840928422512
5.0656872045869005e-05,4.1446531673892815e-05,1e-06,1.4e-05,-1.7059999999999995,1.2200000000000009,4.0600000000000005,0.0669999999999999,1.134,19077.890117270184,23287.0213626188,67000.0,81000.0,201590591323.25,0.0,0.0,-0.0066203278851541
